,NIAT Targets,,
,For July 2027,,
,"HOD Syncup, 11 August",,
,,,
,KPI,Target,Detail
,Students & Employability,,
,Total students on roll,~17500,Cumulative across all four batches by Jul'27
,Batch 1 (2023) - Employability,100%,Full batch employable
,Batch 2 (2024) - Employability,85%,Splits into the two lines below
,    Offers above 4 LPA,65%,Share of the full batch
,    Offers above 18 LPA,20%,Share of the full batch
,Batch 3 (2025) - Employability,80%,At the 2.4 LPA benchmark
,Batch 4 (2026) - Employability,80%,At the 80K benchmark
,,,
,CSAT,,
,Academics,4.5,Score out of 5
,Non-Academics,4.0,Score out of 5
,Infra & Facilities,4.5,Score out of 5
,Parents Relations,4.5,Target to be set
,University Relations,4.5,
,"    Layer 1 (VC, Chairpersons, Founders Registrars)",4.5,Score out of 5
,"    Layer 2 (HODs, Deans)",4.0,Score out of 5
,    Layer 3 (Univ Admin Staff - Day-Day ops),4.0,Score out of 5
,    Layer 4 (Stakeholders Score),,To Be Set
,Overall,,
,,,
,NSPI,,
,Students at 8.0 and above,30%,Top band
,Students at 7.0 to 8.0,40%,Middle band
,Students at 6.0 to 7.0,30%,Lower band
,,,
,Co-curricular,,
,AI & Robotics - finished products,120,3 products per campus across 40 campuses
,GSoC selects,200,5 selects per campus across 40 campuses
,ICPC Regionals,120,Students qualifying for the regional round
,GRIT Novice Badge,"5,000",Students earning the badge
,National & International Hackathons (Top 3),200,5 Wins per campus across 40 campuses
,,,
,,,
,Finance,,
,Student Drop Off % ,<1.5%,Industry Standard is 4-5%
,Day Sales Outstanding,,Finance Team need to take call on this
,   By T+10 Days Fee Payment,60%,T is Due Date - Registration
,  11-30 Days Fee Payment OverDue,20%,
,  31-60 Days Fee Payment OverDue,15%,
,   >60 Days Fee Payment OverDue,5%,
