Academic Operational Asks ,
,
Effective Working Days,"NIAT requires 90 effective Working days (equivalent to 540 instructional hours), excluding holidays,Sundays, Graded Academic exams days and Induction days"
Working Days Policy,Need 6-days Work week
Induction Program,Induction programme had to be under 6 days or a week in which 3 days will be allotted to NIAT
Academic Calender ,The academic calendar must be finalized before 1 month of University Start date 
Working Hours ,"Effective working hours per day should be 6-7 hrs (exclusive of lunch, breaks)"
,
Infrastructure & Logistics Asks ,
,
Transport,Students need separate Bus facility and timings should be from x am to y pm.
Internet,Dedicated high-speed WiFi for NIAT classrooms (minimum 25 Mbps per classroom) should be there .
Classroom Infrastructure,"Projector  ,  Audio System ,  Air Conditioning , Backup Power ,  Computer Labs & Smart Boards should be there "
Sem breaks  info ,"Need hostel infra info in advance , university infra as well for bridge course delivery"
,
Assessment & Exam Coordination Asks ,
,
Exam Scheduling,"NIAT conducts all internal continuous evaluations and semester end exam . (  Exam conduction , Evaluation and results publication all should be handled by NIAT)"
Assessment Platform,All Internal  continuous evaluation  and  semester end exams should happen on Topin Tech  ( Nxtwave Assessment Platform) Digitally
,
Key Mutual Agrrements Asks,
,
No Curriculum Modifications,if  any changes occur then it will require VC + NIAT Academic Council approval 
Info pass regarding Certification course ,"Mandatory Professional Certifications, External Certifications  if univeristy is following that info should be passed to Curriculum teams as well ( Example Aurora university )"
Bos Approval ,All BOS Signatures should be done before starting university
Adhoc Changes in Academic Calender ,"Once Academic Calender is finalized , no adhoc ,  unplanned  and extended  holidays should be given by university 

if allotted, that should be compensated. Atleast should allow to conduct online classes during day time."
