 ,Metric Category ,Product ,Audience ,"Metric Name 

Learning Systems – Metrics Reference Sheet","KPI Name

KPI Naming Convention Guide",Description,Unit,Frequency,Q1,,,,,,,,,,,,,,,
,,,,,,,,,Apr'26,,,,May'26,,,,Jun'26,,,,Jul'26,,,
,,,,,,,,,Budgeted,Actual,Variance,Effort Summary/Remarks,Budgeted,Actual,Variance,Effort Summary/Remarks,Budgeted,Actual,Variance,Effort Summary/Remarks,Budgeted,Actual,Variance,Effort Summary/Remarks
1,Business Impact,All,,% Learners in Ideal Engagement Segment ,Business Impact:All::% Learners in Ideal Engagement Segment ,"% of active learners classified in the High Effort + High Value cell of the effort-value matrix. Learners are segmented monthly based on their LE score (effort) and CME highest concept level achieved (value). Serves as a leading indicator of learning outcomes.

The full 3×3 matrix (Low/Medium/High Effort × Low/Medium/High Value) is a diagnostic tool — used to investigate when this number drops, not tracked as a KPI itself.",%,Monthly ,,,0,,,,,,,,,,,,,
2,Business Impact,All,,Summative Skill Assessment Achievement Rate,Business Impact:All::Summative Skill Assessment Achievement Rate,Students scoring above the defined passing threshold in summative skill assessments across owned domains. Passing threshold is set by the team based on domain context (default reference: 70%).,%,Quarterly ,35,,35,,35,,,,40,,,,40,,,
3,Business Impact,All,,Formative Skill Assessment Achievement Rate,Business Impact:All::Formative Skill Assessment Achievement Rate,Students scoring above the defined passing threshold in formative skill assessments across owned domains. Passing threshold is set by the team based on domain context (default reference: 70%).,%,Monthly ,23,33.4,-10.4,"75% cap was considered for obtaining the actual % values, as that has been the standard cut-off followed by the Skill Assessment team on their tracker in their score evaluation processes, and so for the month of April 2026, the averages for each University (that had Skill Assessments conducted in the month) are as follows, combining the two subjects, Web App. Development II and DBMS:
- AMET University : 10.3%
- Annamacharya University : 38.8%
- Chaitanya University(CDU) : 50.1%
- Chalapathi Institute of Technology : 33.8%
- NIAT - Chevella : 47.6%
- NRI University : 50.6%
- NSRIT : 19.8%
- S-VYASA (Deemed to be University) : 10.4%
- Sanjay Ghodawat University : 29.4%
- Takshashila University : 51.9%
- Vivekananda Global University : 34.1%
- Yenepoya Mangalore Campus : 23.8%",23,,,,30,,,,30,,,
4,Business Impact,All,,Content-Assessment Alignment %,Business Impact:All::Content-Assessment Alignment %,"Delta between learning assessment scores and summative skill assessment scores. Smaller delta = better alignment between what is taught and what is tested.

Formula: |Avg learning assessment score − Avg summative score|",%,Quarterly ,15,,15,,15,,,,15,,,,15,,,
5,Business Impact,NIAT,,Graded Assessment Achievement Rate,Business Impact:NIAT::Graded Assessment Achievement Rate,"Students scoring above the defined passing threshold in university-conducted graded assessments — Mid-1, Mid-2, and End Semester exams — delivered in collaboration with the university. Passing threshold aligned with university grading policy.

Tracked per exam type and per semester.",%,Monthly ,,,0,,,,,,,,,,,,,
6,Business Impact,Launchpad,,Weekly Active Users,Business Impact:Launchpad::Weekly Active Users,"Total number of prospective learner leads generated in the period through content-driven channels (organic, referral, campaigns, partnerships). Tracks the top-of-funnel contribution of content and program visibility efforts.

Source: CRM / marketing analytics. Tracked per product and channel.",Count ,"Monthly 

(Tracked 
weekly
,reported 
as 
Monthly 
avg) ",,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
7,Content Effectiveness,All,,Learning Engagement Effort (LE),Content Effectiveness:All::Learning Engagement Effort (LE),"Measures how much a learner meaningfully engages with learning material, adjusted for effort intensity and persistence. Passive time (video, cheatsheets) weighted at 0.5. Active time (MCQs, coding questions, notes, AI tutor interactions) weighted at 1.0. Persistence signals — reattempting after failure (+0.25) and returning to an unfinished task (+0.25) — multiply the weighted time.

Formula: LE = [(0.5 × Passive Time) + (1.0 × Active Time)] × (1 + Persistence Factor)

Tracked weekly and monthly per product. Replaces DAU/WAU/MAU as the primary engagement metric.","Minutes 
(weighted)",Monthly ,,,0,,,,,,,,,,,,,
