S. No.,Metric Category ,Product ,Audience ,"Metric Name 

Learning Systems – Metrics Reference Sheet","KPI Name

KPI Naming Convention Guide",Description,Unit,Frequency,Q1,,,,,,,,,,,
,,,,,,,,,Apr'26,,,,May'26,,,,Jun'26,,,
,,,,,,,,,Budgeted,Actual ,Variance ,Remarks,Budgeted,Actual ,Variance ,Remarks,Budgeted,Actual ,Variance ,Remarks
1,Business Impact,All,,% Learners in Ideal Engagement Segment ,Business Impact:All::% Learners in Ideal Engagement Segment ,"% of active learners classified in the High Effort + High Value cell of the effort-value matrix. Learners are segmented monthly based on their LE score (effort) and CME highest concept level achieved (value). Serves as a leading indicator of learning outcomes.

The full 3×3 matrix (Low/Medium/High Effort × Low/Medium/High Value) is a diagnostic tool — used to investigate when this number drops, not tracked as a KPI itself.",%,Monthly ,,,,,,,,,,,,
2,Business Impact,All,,Summative Skill Assessment Achievement Rate,Business Impact:All::Summative Skill Assessment Achievement Rate,Students scoring above the defined passing threshold in summative skill assessments across owned domains. Passing threshold is set by the team based on domain context (default reference: 70%).,%,Quarterly ,,,,,,,,,,,,
3,Business Impact,All,,Formative Skill Assessment Achievement Rate,Business Impact:All::Formative Skill Assessment Achievement Rate,Students scoring above the defined passing threshold in formative skill assessments across owned domains. Passing threshold is set by the team based on domain context (default reference: 70%).,%,Monthly ,,,,,,,,,,,,
4,Business Impact,All,,Content-Assessment Alignment %,Business Impact:All::Content-Assessment Alignment %,"Delta between learning assessment scores and summative skill assessment scores. Smaller delta = better alignment between what is taught and what is tested.

Formula: |Avg learning assessment score − Avg summative score|",%,Quarterly ,,,,,,,,,,,,
5,Business Impact,NIAT,,Graded Assessment Achievement Rate,Business Impact:NIAT::Graded Assessment Achievement Rate,"Students scoring above the defined passing threshold in university-conducted graded assessments — Mid-1, Mid-2, and End Semester exams — delivered in collaboration with the university. Passing threshold aligned with university grading policy.

Tracked per exam type and per semester.",%,Monthly ,,,,,,,,,,,,
6,Business Impact,Launchpad,,Weekly Active Users,Business Impact:Launchpad::Weekly Active Users,"Total number of prospective learner leads generated in the period through content-driven channels (organic, referral, campaigns, partnerships). Tracks the top-of-funnel contribution of content and program visibility efforts.

Source: CRM / marketing analytics. Tracked per product and channel.",Count ,"Monthly 

(Tracked weekly
,reported as 
Monthly avg) ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,Content Effectiveness,All,,Learning Engagement Effort (LE),Content Effectiveness:All::Learning Engagement Effort (LE),"Measures how much a learner meaningfully engages with learning material, adjusted for effort intensity and persistence. Passive time (video, cheatsheets) weighted at 0.5. Active time (MCQs, coding questions, notes, AI tutor interactions) weighted at 1.0. Persistence signals — reattempting after failure (+0.25) and returning to an unfinished task (+0.25) — multiply the weighted time.

Formula: LE = [(0.5 × Passive Time) + (1.0 × Active Time)] × (1 + Persistence Factor)

Tracked weekly and monthly per product. Replaces DAU/WAU/MAU as the primary engagement metric.","Minutes 
(weighted)",Monthly ,,,,,,,,,,,,
