Product,Goals,Deliverable,Task,Description,Activity Tag,Metric Category,Impacted Metric,Outcome,Link,Priority,Status COmments,POD,Eng. needed,Buisness stakeholder,Revanth discussion comments,Comment,PM/Owner,Status,Developers,
NIAT,Improve GRIT Performance,"Adoption: 60% of the people who attempt GRIT contest and fail will be attempting personalised practice. 
Pass Rate: Increased from 16% to 30% for students who Practice with personalised practice.  ",GRIT - Recomended Questions after Contest Phase 1,"After a GRIT contest, students get no targeted practice recommendations based on their contest performance.",Product Learning Experience,Effort & Value,Improving the percentage of students passing the GRIT Contest in the second attempt after using personalized practice,,https://app.clickup.com/t/37446639/86d3tjhe6,0,,Common,Yes ,,,Spillover,Aryan,In Progress,Nokhalal,
NIAT,,,GRIT - Recomended Questions after Contest Phase 2,Releasing for all skills and Campuses,Product Learning Experience,Effort & Value,Improving the percentage of students passing the GRIT Contest in the second attempt after using personalized practice,,,2,,,,,,Spillover,Aryan,Approved,,
NIAT,,"-Bring Mock practices inside the learning portal while maintaining the same adoption rate.
- Allow the students to attempt coding questions in mock practice.  
- Improve the question quality and difficulty to reflect the actual GRIT Contests.  ",Improve GRIT Mock Question & assessment Quality,A Lot of students have reported that the Grit contest questions are much more difficult and different than the questions in mock assessment pool. ,Product Learning Experience,Value,Improve user satisfaction rate. https://docs.google.com/spreadsheets/d/1AUPP08a6d4da7XStsSNN1HRfJAwSu0XeMrZZkv2gSEc/edit?usp=sharing,,,1,,,,,,A Lot of students have reported that the Grit contest questions are much more difficult and different than the questions in mock assessment pool. ,Aryan,Backlog,,
Common,Improve User Experience,,SQL Redesign - New Design System,Getting the New design system implemented into the SQL redesigned UX and then getting it implemented,Learning Platform,Effort,Design Consistency & ease of use,,,1,,,,,,"SQL Page is one of the pages we have not revamped along with the other coding pages, the experience there is broken.  ",Aryan,Blocked,,
Common,,,SQL - Dark Mode,Getting Dark Mode implemented for SQL Coding screens,Learning Platform,Effort,Increasing the time spent on learning portal. (Engagement),,,2,,,,,,The dark mode for SQL can only come along with it being revamped with the new design system.  ,Aryan,Blocked,,
Common,,,My Notebook V2,"The My Notebook feature was made as a V1 prototype to test as a concept, or to actually check if the hypothesis is right that the students are not taking notes because they have no experience of taking notes. Reviewing them is broken, so we did that. We got a very decent response in the rate of students taking notes and also visiting the My Notebook page. We are going to revamp it with the new design system and improve the user experience as well. We are going to make it feel more integrated. 

In Academy, on average, 400 users visit the notebook page daily. But the suspected engagement on that page is very low.",Learning Platform,Effort & Value,To increase the engagement with my notebook page and giving a consistent UX.,,,3,,,,,,"The My Notebook feature was made as a V1 prototype to test as a concept, or to actually check if the hypothesis is right that the students are not taking notes because they have no experience of taking notes. Reviewing them is broken, so we did that. We got a very decent response in the rate of students taking notes and also visiting the My Notebook page. We are going to revamp it with the new design system and improve the user experience as well. We are going to make it feel more integrated. ",Aryan,Approved,,
Common,,,New Feature: Dark theme -> Rest of the platform,Extend dark mode beyond coding question types to the remaining platform surfaces.,Learning Platform,Effort,Increasing the time spent on learning portal. (Engagement),,Task Created ,1,,Common,Yes,,,Spillover,Aryan,Approved,Nokhalal,
NIAT,,,Improve the mobile app experience for learning,"Right now 15%+ sessions happening on the LP happen on mobile with 20 mins of average session time. The mobile app learning experience is largely untapped and overlooked. With this initiative, we want to provide a better experience to the students when they try to consume learning content via mobile phones. ",Product Learning Experience,Effort,Increasing the time spent on learning. (Engagement). Significant user feedback asking for mobile experience.  ,,,3,,,,,,https://docs.google.com/spreadsheets/d/1IuieJdMkL3pK5k1iSLqXES01btFTM1BQx0fq_HTjG6k/edit?usp=sharing,Aryan,Backlog,,
NIAT,To stop the moving out of students to outside platforms,,Preparatory Revision - v1,Currently the students are moving out to AI platforms to revise the content for examinations,Product Learning Experience,Effort & Value,Active time per user over platform,,https://app.clickup.com/t/37446639/86d3tm0qm,0,"In Development — front-end (Conceptual + Practical Learning pages)
To be built by vibe coding",Common,Yes,,,,Aryan & Sarthak,In Progress,,
NIAT,To increase visibility and consistency of in-class speaking activity tracking and student evaluations for instructors,,Track In-Class English Speaking Activities & Student Evaluations in instructor portal,"In-class speaking activities (debates/discussions) aren't tracked, causing disputes over whether they occurred and no evaluation data on student performance.",,,"1. Activity logging – Instructors record that a debate/discussion happened (class, date, topic) — closes the ""did this occur"" dispute.

2. Upload evaluated marks sheet – Explore the instructor portal for an existing upload mechanism (bulk file import, e.g. CSV/Excel) instructors can use to submit evaluated scores for a class at once, instead of manual per-student entry. If none exists, this becomes a build item: file upload + parser that maps rows to students and their scores.", Instructors get a centralized way to track speaking activities and evaluations; consistent feedback data available to monitor student speaking improvement over time,,,,English,Yes,,give instructor side tracking through teachOS or a live quiz like functionality for instructors in instructor LP,Spillover,Anjali,Yet to start,,
NIAT,NxtTalk Experience,,NxtTalk — reduce voice latency to <1s & scale for 25k,"Voice responses lag 30s–2min vs. ≤800ms benchmark, no instrumentation; need <1s latency + validated capacity for 25k-student scale.",Developer Platform,Business Impact,,,https://app.clickup.com/t/86d3cqgc2,0,,,,,,,Aryan,Yet to start,,
NIAT,,,"New Unit Type : Activity,  & Integrating NxtTalk","Improving the user experience of NxtTalk by having a new unit type called activity and having a proper user experience for NxtTalk there, which is also scalable to other products like NxtMock and Dopin as well if we want to scale it in the future. ",Product Learning Experience,Effort & Value,Increasing NxTalk engagement rates.  ,,https://app.clickup.com/t/37446639/86d3nft0t,1,,,,,,,Aryan,Yet to start,,
NIAT,To increase the usage of the existing Adaptiv MCQs feature,,Tracking | Adaptiv MCQs dashboard and adoption ,"A dashboard showing who's using Adaptiv MCQs and how much — adoption rates, usage trends, and engagement, filterable by batch/course, so low-adoption areas are easy to spot.",,,,"Clear visibility into adoption trends, enabling targeted, data-driven actions to increase usage of Adaptiv MCQs",,,,,,,,,Anjali,Yet to start,,
Common,New Initiative,,Programming Coach Implementation in LP,"Embed the programming coach into the LP as a usable, adopted feature that guides students to answers via hints instead of giving them away.

Define the feature — scope, UX, and trigger point in the LP; fix what caused non-adoption.
Prompt Enhancements — sharpen the coaching prompts for quality, Socratic behavior, and no repetition.
Offline Evals — test harness to score coach quality before release.
Roll out plan — phased release, target cohorts, adoption metrics.",Learning Platform,Business Impact,,"Students build and demonstrate real coding-interview skills — specifying, implementing, and explaining solutions rather than just producing code — with adoption and downstream assessment gains measurable against a control cohort.",,P0,,Common,Yes,,,,Lokeshwar,In Progress,,
Common,New Initiative,,Mentor Dashbaord,"Give mentors a single view of their students' activity, progress, and performance to flag who needs help.",Learning Platform,Business Impact,,"Mentors get a single, centralized view of student activity, progress, and performance, enabling early, targeted support for students who need it.",,P0,,,,,,,Lokeshwar,Yet to start,,
Common,Improve Adoption,,AI Tutor Enhancement,"Offline Evals
In Line Evals & Prompts
Define for Devs",Learning Platform,Content Effectiveness,≈24% average weekly adoption rate over the last 4 complete weeks (Jul 13 – Aug 3),"AI Tutor answer quality is systematically measured and improved through offline and live evaluation, delivering more effective, reliable tutoring at scale.",,P1,,Common,Yes,,,,Lokeshwar,Yet to start,,
NIAT,To increase detection of malicious/bot activity using an AI honeypot agent,,Honey Pots - AI agent," AI agent to click on an invisible button called ""AiHoneypot"" that presumably then bans you from the course.",,,, Improved platform security with early detection of malicious/bot behavior and reduced risk of abuse,,,,,,,,,Anjali,,,
NIAT,Improve module quiz integrity,,Module Quiz Implementation should be changed as classroom quiz,"To make the module quiz onboarding work like the live quiz, we need to add a quiz code that users can enter to start the quiz.",Product Learning Experience,Feature Effectiveness,Improving the integrity of Module Quiz,Feature Integrity,https://app.clickup.com/t/37446639/86d3kc8av,,,,Yes,,,,Rohan,Yet to start,,
NIAT,Improve live quiz reliability,,Optimize live quiz reliability (prevents auto-close/throw-out),"Why: Users reported server errors during internal exams with the live quiz feature freezing, and quizzes not responding, not navigating to the next question properly, with students getting kicked out mid-quiz. Both point to the same root issue.

What: Root-cause and fix the session/connection handling so quizzes don't freeze, hang, or force-exit students during active attempts, and validate it holds under exam-scale concurrent load.",Product Learning Experience,Feature Effectiveness,Reducing quiz failure rate(Users giving feedbacks on getting thrown out of the quiz and next question navigation issues),"Live quiz sessions run without freezing, navigation failures, or mid-quiz kick-outs.
",,,,Common,Yes,,,,Rohan,,,
NIAT,,,Adding feedback in live quiz,"Why: Users' issues were discovered only after the fact — through affected-student counts and generic complaints (""not responding,"" ""glitches"") — with no real-time signal of what was actually failing (freeze? navigation? submission?) while it was happening.

What: Capture in-quiz technical events (freeze, failed navigation, failed submission) as they occur, so the next incident comes with diagnosable data instead of a vague ""quiz is glitching"" report.",Product Learning Experience,Feature Effectiveness,Faster Error Resolution,,,,,Common,Yes,,,,Rohan,,,
Common,To improve coding question experience,,Coding Evaluation Redesign,"Redesign the coding evaluation system to support subtask-level feedback for DSA questions.
",Learning Domains,Stakeholder Alignment,,,https://app.clickup.com/t/37446639/86d2t1xhn,,,DSA,Yes,,,,Rohan,On hold,"Narayana, Ritesh",
Common,,,"Coding Evaluation — Testcase Load Readiness

","While increasing testcases per question (30–60 → 100–300, across 1000+ questions), need to ensure no errors or latency increases occur in coding evaluation.",Learning Domains,Stakeholder Alignment,,Testcases scale up 3–10x per question with no increase in evaluation errors or latency.,,,,DSA,Yes,,,,Rohan,,,
Common,,,Kps for Aptitude,"Aptitude questions need correct, non-duplicate Knowledge Point tags to power course structuring and adaptive learning ",Learning Platform,"Content Effectiveness, Content Relevance",,"KP tagging for new questions/courses happens without manual aptitude-team effort, keeping pace with content volume for course structuring and adaptive learning",,,,,Yes,,,,Rohan,,,
Common,To increase the usage of the existing revision features,"Adoption: To increase the adoption of the feature to around 50% of the students. 
Usage: To increase count of bookmarks by 100% from the current data.",To increase the adoption and the usage of bookmark feature,"Currnetly the bookmarks feature stands under utilized, and is not able to serve its purpose.",Learning Platform,Effort & Value,"Bookmarks per user, bookmarks feature adoption",,,,,,,,,,Sarthak,Yet to start,,"Only maximum 100 unique users are bookmarking a question in month - NIAT
NIAT 632 students did returned to bookmarks where above 60% students did dead clicks"
NIAT,To increase the practice session attempt rate,"To increase the attempt rate of the students by around 20% - 25% , considering the made assumptions.",Weekly Leaderboard - Marketing and Rollout,To increase the parctice session attempt rate with the introduction of college level weekly leaderboard. ,Product Learning Experience,Effort & Value,Marketing Goal - To have no or less feedbacks/issues about the working of the leaderboard.,,,,,,,,,,Sarthak,In Progress,,Current weekly attempt rate of practice sessions stands very low around 20%
Common,Increase memory retention of concepts,,Need to identify the most viable solution to have,Currently the student by themselves go and revise and brush up the courses/topics learnt earlier. There is no mechanism that helps the students to keep memory updated. ,Learning Platform,Effort & Value,Decrease the duration of time when a concept/course was worked upon last time,,,,,,,,,,Sarthak,Yet to start,,TBA
NIAT,Introduction of Revision as fixed session in weekly schedule,,Need to have clarity around what is the revisions hours can we get in a month. ,TBA,Product Learning Experience,Effort & Value,Decrease the duration of time when a concept/course was worked upon last time.,,,,,,,,,,Sarthak,Yet to start,,TBA
,,,,,,,,,,,,,,,,,,,,
,,,,Reading Material,,,,,,,,,,,,,,,,
,,,Coding Practice Engagement & Progress Tracking,Coding Practice Engagement & Progress Tracking,,,,,,,,,,,,,,,,
,,,Classroom Quiz Experience,Classroom Quiz Experience,,,,,,,,,,,,,,,,
,,,AI-assisted Learning Experience,AI-assisted Learning Experience,,,,,,,,,,,,,,,,
,,,Integrated Learning Workflow,Integrated Learning Workflow,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Platform Concurrency & IDE Reliability,,IDE reliabilty metrics & alerts,Prepare metrics list comprehensively against industry standards - to give confidence that systems are running reliably. prepare dashboard and alerts for the prepared list.,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Create architecture docs similar to this: React Cloud IDE Architecture — Design & Infrastructure,,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Feedback collection improvement,,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Per-Unit Cost Dashboard,"Provide a dashboard with cost details to analyse cost per user, per question, per stack, etc",,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Reducing P99&P100 submit latency,Reduce the submit P99 and P100 latency to below 1min,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Reducing P99&P100 publish latency,Reduce the publish P99 and P100 latency to below 1min,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Reducing P99&P100 ide launch latency,Reduce the ide launch P99 and P100 latency to below 1min,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Understand the npm install latency and reduce,"Investigate the root cause of npm install latency. If the increased latency is not caused by the addition of new packages or dependencies added by user, identify and implement optimizations to reduce the installation time to under 1 minute.",,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Update IDE dashboard with all stacks,,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Highlight IDE Preview ,,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Add CCBP CLI commands descriptions in clli,,,,,,,,,,Yes,,,,Suresh,,,
,IDE cost optimization,,Terminate the IDE after user closes tab,,,,,,,,,,Yes,,,,Suresh,,,
,Platform Concurrency & IDE Reliability,,Reduce the ide close latency for user,,,,,,,,,,Yes,,,,Suresh,,,
,,,,,,,,,,,,,,,,,,,,
,n8n IDE Reliability,,Improve alert mechanism,"concurrent usage, database cpu utilization",,,,,,,,,Yes,,,,Rajesh,,,
,n8n IDE Reliability,,Dashboard cost visibility,Unit specific cost by maintaining question id,,,,,,,,,Yes,,,,Rajesh,,,
,n8n IDE Reliability,,Dashboard Improve latency visibility and usage,Add p99 and max and user specific,,,,,,,,,Yes,,,,Rajesh,,,
,n8n Resolving user feedback,,Resolve save funtionality not working,,,,,,,,,,Yes,,,,Rajesh,,,
,n8n Resolving user feedback,,Resolve n8n is not opeing its just loading,,,,,,,,,,Yes,,,,Rajesh,,,
,n8n Resolving user feedback,,Resolve N8N Invitation Acceptance Failed,,,,,,,,,,Yes,,,,Rajesh,,,
,Compiler Reliability,,Monitoring dashboard,"Cost, latency, service health ",,,,,,,,,Yes,,,,Rajesh,,,
,Compiler Reliability,,Alerts ,"Latency, service, compiler sentry ",,,,,,,,,Yes,,,,Rajesh,,,
,Compiler Reliability,,Migration to tech account from alpha and setup CI/CD,,,,,,,,,,Yes,,,,Rajesh,,,
,Reduce dependency on engineering for routine issues,,Build a support agent for CS/Ops,"Investigation support with learning platform code, db and infra context",,,,,,,,,,,,,Rajesh,,,
,Optimize otg-gamma and otg-beta System Performance,,Fix Unnecessary Cache Generation on Branch Checkout,Identify and stop unnecessary cache-file generation during branch checkout. ,,,,,,,,,,,,,Lavanya,,,
,Optimize otg-gamma and otg-beta System Performance,,Sync and Clean Up otg-beta and otg-gamma Branches,"Align both branches and remove or move unused files and code, to reduce time consumption while cherry-pikcing and testing",,,,,,,,,,,,,Lavanya,,,
,"Code Alignment, and Agent UI/Plan Generation",,Improve Agent Skill UI Output & Consistency,Update the Agent Skill to generate better and more consistent UI.,,,,,,,,,,,,,Lavanya,,,
,"Code Alignment, and Agent UI/Plan Generation",,Reduce Agent Plan-Generation Time,Analyze delays and implement actions to improve the agent’s planning speed.,,,,,,,,,,,,,Lavanya,,,
